image,faces_detected,face_count,confidence,age_range,emotions,pose_pitch,pose_roll,pose_yaw,smile,eyes_open,mouth_open,timestamp
test_faces\P4vtbU_zksE.jpg,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2026-05-08T12:18:29.775505
test_faces\q3335Xue5RM.jpg,8,1,100.0,24-32,HAPPY (100.0%),7.17,20.77,7.75,True,True,True,2026-05-08T12:18:30.634872
test_faces\age_ranges\-WBVWFBfoEc.jpg,8,1,100.0,19-23,HAPPY (100.0%),-25.48,38.93,-10.22,True,False,True,2026-05-08T12:18:31.331459
test_faces\age_ranges\2SqN6-Fraqw.jpg,7,1,100.0,19-25,HAPPY (100.0%),0.52,-13.03,-3.1,True,True,True,2026-05-08T12:18:31.952512
test_faces\age_ranges\4BG2yKyCaWg.jpg,1,1,100.0,20-26,CALM (26.9%),2.64,-1.28,-5.93,True,True,False,2026-05-08T12:18:32.355104
test_faces\age_ranges\7wpB3bMA0mE.jpg,1,1,100.0,24-32,CALM (49.6%),-1.73,-1.49,-1.72,False,True,False,2026-05-08T12:18:32.720013
test_faces\age_ranges\9qCKijGJ6rs.jpg,8,1,100.0,19-25,HAPPY (100.0%),5.86,9.15,1.9,True,True,True,2026-05-08T12:18:33.419652
test_faces\age_ranges\AjJegyfKSR8.jpg,1,1,100.0,18-22,CALM (94.3%),6.29,62.63,28.35,False,True,False,2026-05-08T12:18:33.759506
test_faces\age_ranges\fFuxMK-gfuc.jpg,5,1,99.97,22-28,HAPPY (99.0%),36.42,-40.71,-34.21,True,False,True,2026-05-08T12:18:34.389509
test_faces\age_ranges\gmfqjIQikuM.jpg,1,1,100.0,13-21,CALM (99.3%),3.15,2.5,1.35,False,True,False,2026-05-08T12:18:34.910665
test_faces\age_ranges\GT2pvOfk788.jpg,5,1,100.0,21-27,SURPRISED (93.1%),6.61,-25.5,-12.53,False,True,True,2026-05-08T12:18:35.477972
test_faces\age_ranges\HD34Wd6Jjqc.jpg,8,1,100.0,24-30,SURPRISED (70.0%),-8.82,-1.89,3.83,True,True,True,2026-05-08T12:18:36.117711
test_faces\age_ranges\Hzsv2g0XNFo.jpg,1,1,100.0,11-19,CALM (88.6%),-6.31,-1.83,-17.02,False,True,False,2026-05-08T12:18:36.500475
test_faces\age_ranges\Ib0KLrAfb-E.jpg,8,1,100.0,24-32,HAPPY (100.0%),-8.91,33.06,7.18,True,True,True,2026-05-08T12:18:37.172799
test_faces\age_ranges\IeA96rxa2gs.jpg,8,1,100.0,23-29,HAPPY (100.0%),5.88,-8.52,2.1,True,False,True,2026-05-08T12:18:37.864529
test_faces\age_ranges\IKKaHfoJi3g.jpg,5,1,100.0,24-30,HAPPY (99.3%),4.57,-37.83,1.56,True,True,True,2026-05-08T12:18:38.392858
test_faces\age_ranges\j6BQrKXmnWA.jpg,5,1,100.0,19-23,HAPPY (100.0%),6.61,-9.28,-3.27,True,True,True,2026-05-08T12:18:38.958214
test_faces\age_ranges\KDF7-23mAU8.jpg,1,1,100.0,21-27,CALM (99.7%),-3.11,-4.04,-7.07,False,True,False,2026-05-08T12:18:39.294779
test_faces\age_ranges\mFNV3c-GAw4.jpg,1,1,100.0,16-22,CALM (99.9%),0.51,-4.06,4.26,False,True,False,2026-05-08T12:18:39.647512
test_faces\age_ranges\NiolQ756NQg.jpg,14,1,99.32,22-28,CALM (77.4%),3.25,-2.21,-16.22,False,True,False,2026-05-08T12:18:40.649389
test_faces\age_ranges\odFhxmEQ548.jpg,1,1,100.0,19-23,CALM (99.3%),-0.25,-5.46,-32.77,False,True,False,2026-05-08T12:18:41.066045
test_faces\age_ranges\PpQyCTcADtw.jpg,8,1,100.0,24-32,CONFUSED (69.9%),8.34,12.92,13.29,False,True,False,2026-05-08T12:18:41.728309
test_faces\age_ranges\q3335Xue5RM.jpg,8,1,100.0,24-32,HAPPY (100.0%),7.17,20.77,7.75,True,True,True,2026-05-08T12:18:42.518591
test_faces\age_ranges\QuDxxWypu9U.jpg,1,1,100.0,21-27,CALM (45.6%),-6.85,-0.27,13.56,False,True,False,2026-05-08T12:18:42.961471
test_faces\age_ranges\rLemzQ0FDxY.jpg,7,1,100.0,19-25,HAPPY (99.7%),-1.81,-13.07,6.99,True,True,True,2026-05-08T12:18:43.682280
test_faces\age_ranges\s55Di5cdiSM.jpg,1,1,100.0,19-25,CALM (97.4%),-2.82,-9.93,-7.3,False,True,False,2026-05-08T12:18:43.956848
test_faces\age_ranges\syOTmqVDvOQ.jpg,8,1,100.0,24-32,HAPPY (100.0%),-3.38,2.08,1.5,True,True,True,2026-05-08T12:18:44.702748
test_faces\age_ranges\ttOGqPKlGTs.jpg,1,1,100.0,21-27,HAPPY (99.0%),2.41,2.44,3.64,True,True,True,2026-05-08T12:18:45.075729
test_faces\age_ranges\UcQ2Db8MZck.jpg,4,1,100.0,21-27,HAPPY (100.0%),4.49,-9.11,-6.03,True,True,True,2026-05-08T12:18:45.577949
test_faces\age_ranges\UJ9JCFcNJ68.jpg,5,1,100.0,20-26,HAPPY (100.0%),17.96,-16.39,-6.05,True,True,True,2026-05-08T12:18:46.086249
test_faces\age_ranges\WpKYyQ8hOpw.jpg,1,1,100.0,19-25,CALM (99.7%),4.64,1.34,-4.08,False,True,False,2026-05-08T12:18:46.489175
test_faces\age_ranges\xijTRdsL6cQ.jpg,5,1,100.0,19-25,HAPPY (100.0%),1.57,-9.23,-11.05,True,True,True,2026-05-08T12:18:47.059217
test_faces\age_ranges\xyauiSBWRFs.jpg,1,1,100.0,22-28,HAPPY (83.4%),1.36,2.36,-9.65,True,True,True,2026-05-08T12:18:47.432330
test_faces\age_ranges\Y8XxrkzwdyI.jpg,8,1,100.0,24-32,HAPPY (100.0%),-1.96,7.64,7.08,True,True,True,2026-05-08T12:18:48.181649
test_faces\age_ranges\YB_WHgnnx20.jpg,22,1,99.99,24-32,HAPPY (94.3%),-0.41,-0.25,33.09,True,True,False,2026-05-08T12:18:49.579889
test_faces\age_ranges\ZKrraSQs_X0.jpg,1,1,100.0,19-23,CALM (100.0%),2.68,-3.57,-7.59,False,True,False,2026-05-08T12:18:50.016110
test_faces\age_ranges\_UE0o5jmuik.jpg,1,1,100.0,20-26,CALM (86.6%),-26.86,24.7,15.03,False,True,False,2026-05-08T12:18:50.329305
test_faces\lighting_conditions\LPAqzzcBIfU.jpg,8,1,100.0,40-48,CALM (93.2%),-6.13,1.61,-5.48,False,True,False,2026-05-08T12:18:51.097070
test_faces\lighting_conditions\x99S9Mj18qI.jpg,1,1,100.0,28-36,CONFUSED (96.5%),12.39,-32.86,-18.48,False,True,False,2026-05-08T12:18:51.484040
test_faces\poses_and_angles\wbrc7D4pKTs.jpg,1,1,99.98,27-35,CALM (99.4%),-2.38,-6.48,65.58,False,False,False,2026-05-08T12:18:51.736678
test_faces\validated\52rOMaF0aVw.jpg,1,1,100.0,53-59,CALM (92.7%),5.49,-2.61,-3.05,False,True,False,2026-05-08T12:18:52.129011
test_faces\validated\F10bExv6fgw.jpg,5,1,99.99,29-37,HAPPY (99.7%),9.98,-3.91,-1.56,True,True,True,2026-05-08T12:18:52.673283
test_faces\validated\FFbz6BIRCV0.jpg,8,1,100.0,33-41,HAPPY (100.0%),17.95,0.62,-1.65,True,True,True,2026-05-08T12:18:53.343425
test_faces\validated\H2hTVptgLOM.jpg,1,1,100.0,25-33,CALM (45.0%),5.77,-0.09,1.31,True,True,False,2026-05-08T12:18:53.822318
test_faces\validated\hr_feH2URs0.jpg,1,1,100.0,27-35,CALM (97.9%),11.41,-0.83,-0.48,False,True,False,2026-05-08T12:18:54.135374
